shortme	for2591_id	species	sex	strain	animal_id	treatment	subproject	groups	mod	repeats	bwc	rgs	tint_mouse	nesting_rat	burrowing_rat	openfield_rat	cort_plasma	cort_fec	cort_fur_hair	food	social_interaction	Sacc_pref	OF_rearing_frequency	Of_immobile_duration	OF_center_time	BWB_WB	BWB_entries_in_BB	BWB_streching	BWB_LT	EPM_stretching	EPM_head_dip	EPM_closed_arms_duration	EPM_open_arms_duration	EPM_open1_3	Adrel_glands	Creatincise	Oxytocin	BDNF	Irwin	Seizures_n	Seizures_duration	Act_d	Act_n	HR_d	HR_n	NN.I_d	NN.I_n	NNx_d	NNx_n	pNNx_d	pNNx_n	RMSSD_d	RMSSD_n	SDNN_d	SDNN_n	MPPF_hippocampus_L	MPPF_hippocampus_R	MPPF_mPFC	MPPF_septum	FDG_mPFC	FDG_septum	FDG_amygdala	FDG_striatum	FDG_hypothalamus	FDG_thalamus	FDG_parietal_cortex	FDG_hippocampus	Init.ADT	Init.SD	total.SD	Mean.SD
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 01	sham	beh	elec_beh_sham	elec	3	6.3	0		3	1706.9	6343.977	9.244	8.2026		16.9	380	91.73	56	274.32	25.6	39.56	4	12	1.44	2	24	147.04	80.92	30.68	0.05433	531.2	33.867	632.3553	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 11	sham	beh	elec_beh_sham	elec	3	3.7	0		2	1384.2	8433.413	26.148	4.851		16.5	373	94.13	51	216.08	60.96	86.16	6	12	13.52	5	25	94	107.72	49.56	0.06386	1554.7	27.394	889.6304	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 13	sham	beh	elec_beh_sham	elec	3	6.3	0		2	627.5	5756.108	47.951	8.0724		16.8	431	86.82	42	276.52	31.28	52.28	5	10	21.48	4	27	136.88	94.2	50.24	0.06175	331.2	17.621	779.577	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 14	sham	beh	elec_beh_sham	elec	3	6.5	0		3	1193	7305.229	12.565	13.3623		16.1	393	93.61	60	125.08	53.48	106.76	5	7	1.24	5	28	111.88	106.52	43.68	0.05293	307.1	19.924	559.7607	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 15	sham	beh	elec_beh_sham	elec	3	4.9	0		3	1312.4	7299.455	0	8.6205		16.7	435	93.28	58	218.44	62.08	168.08	4	2	119.8	1	22	61.28	149.76	69.24	0.06126	409.7	176.122	687.3066	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 19	sham	beh	elec_beh_sham	elec	3	6	0		3	411.1	6835.606	13.146	6.8565		15.2		92.06	38	183.4	50.6	83.2	6	9	11.28	0	26	97.48	111.08	38.8	0.06528	1673.3	143.704	1066.1941	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 21	sham	beh	elec_beh_sham	elec	3	5.2	0		3	1738.9	9857.21	48.674	6.8691		18.3	380	93.19	51	124.24	32.2	92.12	6	8	11.84	5	33	66.52	147.36	54.64	0.06026	2000	53.963	732.2655	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 29	sham	beh	elec_beh_sham	elec	3	5.4	0		2	100	6302.097	101.719	6.4407		17.6	431	89.68	31	226.72	17.36	34.76	3	12	16.68	2	13	131.64	74.08	26.4	0.06692	629.8	97.568	821.9191	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 40	sham	beh	elec_beh_sham	elec	3	2.1	0		2	1540.5	8380.298	46.135	6.4029		16.7	393	92.42	72	111.88	36.2	110.04	6	10	18.4	7	21	131.92	65.72	16.2	0.05056	413.6	61.904	443.8278	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 42	sham	beh	elec_beh_sham	elec	3	5.7	0		1	825	7151.043	22.703	5.3634		17.1	373	87.79	42	244.88	40.12	75.92	7	14	8.36	0	33	94.68	138	72	0.0613	1433	134.774	642.2839	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 43	sham	beh	elec_beh_sham	elec	3	1	0		3	567.6	5602.012	63.296	10.878		14.3	435	72.34	40	240.64	9.4	19.64	3	10	0	5	19	122.48	102.88	42.56	0.06013	425.5	356.198	682.2973	0	0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 73	SE	tel	elec_tel_SE	elec	-1					2090.4			2.6502																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 75	SE	tel	elec_tel_SE	elec	-1					1482.9			7.0854																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 76	sham	tel	elec_tel_sham	elec	-1					1551			2.8896																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 77	SE	tel	elec_tel_SE	elec	-1					1714.8			2.8497																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 79	SE	tel	elec_tel_SE	elec	-1					1748.3			3.8472																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 81	SE	tel	elec_tel_SE	elec	-1					1948.8			2.0013																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 83	sham	tel	elec_tel_sham	elec	-1					1510.9			2.2764																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 85	sham	tel	elec_tel_sham	elec	-1					1694.5			2.5998																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 86	SE	tel	elec_tel_SE	elec	-1					1783.4			1.1403																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 87	sham	tel	elec_tel_sham	elec	-1					1731.8			5.5293																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 88	sham	tel	elec_tel_sham	elec	-1					1616.2			2.7048																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 89	sham	tel	elec_tel_sham	elec	-1					2037.1			3.3957																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	KO 100	SE	tel	elec_tel_SE	elec	-1								4.7523																						0																															
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 73	SE	tel	elec_tel_SE	elec	0					1443																									0		0.0284	0.06209	334.5387	380.5625	180.4989	158.7449	48.0073801	45.2708333	3.07052177	2.56287986	2.685444	2.521907	7.093876	6.525116																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 75	SE	tel	elec_tel_SE	elec	0					1658.5																									0		0.00973	0.02045																												
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 76	sham	tel	elec_tel_sham	elec	0					1204																									0		0.0471	0.08705	321.3616	367.9861	189.1686	164.4361	83.0627306	143.7013889	5.63889779	8.55270799	3.362066	3.796776	7.39153	8.868991																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 77	SE	tel	elec_tel_SE	elec	0					1879.4																									0		0.0416	0.05088	360.3195	398.3507	167.7849	152.1629	31.631579	27.2986111	1.91399098	1.50675	2.829267	2.618065	5.424597	4.447259																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 79	SE	tel	elec_tel_SE	elec	0					1617.8																									0		0.03675	0.07082	333.368	368.934	181.8189	164.7569	34.9703704	30.4479167	2.52918556	2.07859444	2.653571	2.594401	5.636176	5.851706																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 81	SE	tel	elec_tel_SE	elec	0					2024																									0		0.02139	0.04366	322.8684	365.0174	188.5635	166.5939	102.2330827	76.4826389	6.68348759	4.62079201	3.818447	3.399341	7.629838	7.042145																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 83	sham	tel	elec_tel_sham	elec	0					2066.1																									0		0.02416	0.05482																												
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 85	sham	tel	elec_tel_sham	elec	0					1113.1																									0		0.03723	0.06308	336.0564	396.4375	181.1259	153.5262	101.3308271	135.375	6.43639699	7.49774479	3.775821	3.80564	7.531271	7.532845																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 86	SE	tel	elec_tel_SE	elec	0					1759.5																									0		0.02448	0.05221																												
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 87	sham	tel	elec_tel_sham	elec	0					1775																									0		0.02373	0.05128	335.9594	386.9375	180.9117	157.0298	114.9815498	73.8090278	7.24352768	4.14683472	3.493884	2.859497	9.1	8.932899																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 88	sham	tel	elec_tel_sham	elec	0					1660.4																									0		0.0356	0.0691	345.2707	384.8819	176.0909	157.4905	98.3120301	125.7361111	6.12790827	6.7125809	3.873727	3.873537	7.845246	9.29727																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 89	sham	tel	elec_tel_sham	elec	0					1806.4																									0		0.01921	0.04919	308.1316	357.0729	197.5866	170.3116	98.9736842	86.5868056	6.99433158	5.36035347	3.704403	3.442791	9.94213	11.050821																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	KO 100	SE	tel	elec_tel_SE	elec	0																														0		0.02296	0.06659	314.7601	370.6424	192.8955	164.5326	127.4575646	75.5243056	8.86635535	4.53873924	3.931301	3.222695	7.614734	7.449793																
